TypeEx,Name,Description,URL,Rating,Category,Keywords,Comments,Uid
Tabular,2010 Disciplinary Actions - Filing Rep Formerly Expediter (Facilities-and-Structures/2010-Disciplinary-Actions-Filing-Rep-Formerly-Expe/g8fu-uwr2),2010 disciplinary actions - filing rep formerly expediter,https://data.cityofnewyork.us/Facilities-and-Structures/2010-Disciplinary-Actions-Filing-Rep-Formerly-Expe/g8fu-uwr2,0,Facilities and Structures,"dob, department of buildings, buildings, disciplinary actions, electrician, plumber, master plumber, architect, engineer, surrender of privileges, elevator, offender",0,g8fu-uwr2
Map,DYCD YAIP (Young Adult Internship Programs) (Community-Service/DYCD-YAIP-Young-Adult-Internship-Programs-/s2d8-h5fg),Young Adult Internship Programs,https://data.cityofnewyork.us/Community-Service/DYCD-YAIP-Young-Adult-Internship-Programs-/s2d8-h5fg,0,Community Service,"geographic, location, map, cartography, basemap, yaip, youth, job, employ, employment, young, adult, intern, internship, program, work",0,s2d8-h5fg
Tabular,2010 Disciplinary Actions Unlicensed Plumbers (Facilities-and-Structures/2010-Disciplinary-Actions-Unlicensed-Plumbers/3d3q-ijy5),2010 Disciplinary actions unlicensed plumbers,https://data.cityofnewyork.us/Facilities-and-Structures/2010-Disciplinary-Actions-Unlicensed-Plumbers/3d3q-ijy5,0,Facilities and Structures,"dob, department of buildings, buildings, disciplinary actions, electrician, plumber, master plumber, architect, engineer, surrender of privileges, elevator, offender",0,3d3q-ijy5
Tabular,2010 Local Film Festivals (dataset/2010-Local-Film-Festivals/yggg-xf4b),List of local film festivals,https://data.cityofnewyork.us/dataset/2010-Local-Film-Festivals/yggg-xf4b,0,,"film, movie, festival, event, theater, theatre, media",0,yggg-xf4b
Tabular,2010-11 Disciplinary Actions Unlicensed Electricians And Contractors (Facilities-and-Structures/2010-11-Disciplinary-Actions-Unlicensed-Electricia/ebjh-qsyx),2010-11 Disciplinary Actions Unlicensed Electricians And Contractors,https://data.cityofnewyork.us/Facilities-and-Structures/2010-11-Disciplinary-Actions-Unlicensed-Electricia/ebjh-qsyx,0,Facilities and Structures,"dob, department of buildings, buildings, disciplinary actions, electrician, plumber, master plumber, architect, engineer, surrender of privileges, elevator, offender",0,ebjh-qsyx
Map,Areas of Interest GIS (Health/Areas-of-Interest-GIS/mzbd-kucq),GIS data: Areas of interest labels as depicted in New York : A City of Neighborhoods,https://data.cityofnewyork.us/Health/Areas-of-Interest-GIS/mzbd-kucq,0,Health,"areas of interest gis, dcp, geographic, location, map, cartography, neighborhood, historic, scenic, interest, area of interest, areas of interest",0,mzbd-kucq
Map,Map View (Business-and-Economic/Map-View/uady-p6yt),A list of laundry facilities that have a current DCA license as of the run date.,https://data.cityofnewyork.us/Business-and-Economic/Map-View/uady-p6yt,0,Business and Economic,"laundry, license, laundromat, clothing, washing, cleaning, clothes, consumer affairs, dca",0,uady-p6yt
Tabular,2010-2011 Class Size - Borough Distribution (Education/2010-2011-Class-Size-Borough-Distribution/xefy-6ent),"This file shows the range and distribution of class sizes within a particular grade and program type. For grades 5-9 (where available) and 9-12, the data are shown by program type and core subject.
Class size data is based on January 28, 2011 data.
* Grade 9 Official Class data is included for 0K-09 schools. Core Course information for these sections is not reported.",https://data.cityofnewyork.us/Education/2010-2011-Class-Size-Borough-Distribution/xefy-6ent,0,Education,,0,xefy-6ent
Tabular,2010-2011 Class Size - Borough Summary (Education/2010-2011-Class-Size-Borough-Summary/7yds-6i8e),"This file shows average class size for each borough, aggregated by grade and program type. For grades 5-9 (where available) and 9-12, the data are shown by program type and core course.
Based on January 28, 2011 data.
* Grade 9 Official Class data is included for 0K-09 schools. Core Course information for these sections is not reported.",https://data.cityofnewyork.us/Education/2010-2011-Class-Size-Borough-Summary/7yds-6i8e,0,Education,,0,7yds-6i8e
Tabular,2010-2011 Class Size - Citywide Distribution (Education/2010-2011-Class-Size-Citywide-Distribution/4s7y-vm5x),"This file shows the range and distribution of class sizes within a particular grade and program type. For grades 5-9 (where available) and 9-12, the data are shown by program type and core subject.
Based on January 28, 2011 data.
* Grade 9 Official Class data is included for 0K-09 schools. Core Course information for these sections is not reported.",https://data.cityofnewyork.us/Education/2010-2011-Class-Size-Citywide-Distribution/4s7y-vm5x,0,Education,,0,4s7y-vm5x
Tabular,2010-2011 Class Size - Citywide Summary (Education/2010-2011-Class-Size-Citywide-Summary/abgn-8q46),"This file shows citywide average class sizes, aggregated by grade and program type. For grades 5-9 (where available) and 9-12, the data are shown by program type and core course.
Based on January 28, 2011 data.
* Grade 9 Official Class data is included for 0K-09 schools. Core Course information for these sections is not reported.",https://data.cityofnewyork.us/Education/2010-2011-Class-Size-Citywide-Summary/abgn-8q46,0,Education,,0,abgn-8q46
Map,Map of Water Fountains (Other/Map-of-Water-Fountains/4z75-dszx),GIS Map of Water Fountains in New York City Department of Parks & Recreation properties.,https://data.cityofnewyork.us/Other/Map-of-Water-Fountains/4z75-dszx,0,Other,"parks, nature, recreation, location, map, cartography, water, fountain, park, geographic",0,4z75-dszx
Tabular,2010-2011 Class Size - District-level Distribution (Education/2010-2011-Class-Size-District-level-Distribution/nurr-mhyi),"This file shows citywide average class sizes, aggregated by grade and program type. For grades 5-9 (where available) and 9-12, the data are shown by program type and core course.
Based on January 28, 2011 data.
* Grade 9 Official Class data is included for 0K-09 schools. Core Course information for these sections is not reported.",https://data.cityofnewyork.us/Education/2010-2011-Class-Size-District-level-Distribution/nurr-mhyi,0,Education,,0,nurr-mhyi
Map,Zip Code Boundaries (Social-Services/Zip-Code-Boundaries/pewt-uj9f),Polygon representing the boundary of the zip codes in the city.,https://data.cityofnewyork.us/Social-Services/Zip-Code-Boundaries/pewt-uj9f,0,Social Services,"doitt gis, geographic, location, map, cartography, zip, code, zip code, boundary",0,pewt-uj9f
Tabular,2010-2011 Class Size - District-level Summary (Education/2010-2011-Class-Size-District-level-Summary/82rt-zc4y),"This file shows average class size for each district, broken out by program type (General Education, Self-Contained Special Education, Collaborative Team Teaching (CTT)) for grades K-9 (where grade 9 is not reported by subject area), and for grades 5-9 (where available) and 9-12, aggregated by program type (General Education, CTT, and Self-Contained Special Education) and core course (e.g. English 9, Integrated Algebra, US History, etc.).
Based on January 28, 2011 data.
* Grade 9 Official Class data is included for 0K-09 schools. Core Course information for these sections is not reported.",https://data.cityofnewyork.us/Education/2010-2011-Class-Size-District-level-Summary/82rt-zc4y,0,Education,,0,82rt-zc4y
Tabular,2010-2011 Class Size - School-level detail (Education/2010-2011-Class-Size-School-level-detail/urz7-pzb3),"Average class sizes for each school, by grade and program type (General Education, Self-Contained Special Education, Collaborative Team Teaching (CTT)) for grades K-9 (where grade 9 is not reported by subject area), and for grades 5-9 (where available) and 9-12, aggregated by program type (General Education, CTT, and Self-Contained Special Education) and core course (e.g. English 9, Integrated Algebra, US History, etc.).
Class size data is based on January 28, 2011 data.
*Grade 9 Official Class data is included for 0K-09 schools. Core Course information for these sections is not reported.",https://data.cityofnewyork.us/Education/2010-2011-Class-Size-School-level-detail/urz7-pzb3,0,Education,,0,urz7-pzb3
